,Country,ISO3,Specie,Breed/Most common name,Language,Description,Transboundary name,Other name,Provision Uses,Regulation and Maintenance Uses,Cultural Uses,Description Of Specific Uses,Production environment/management systems,Literature related to uses and ecosystem services,Additional information,Additional information comments,Efabis cultural role comment,Efabis cultural value,Adaptability to specific environment,Specific resistance or tolerance,Specific reproductive characteristic,Special characteristic of product,Other special qualities,Reference for special qualities,Efabis genetic features,Efabis environmental role,Efabis adaptability to marginal land,Body conformation,Coat description,Coat quality,Comb type,Skin colour,Shank and foot colour,Plumage colour,Pattern within feather,Avian classification,Color comments,Efabis main colour,Efabis skin colour,Number of horns males,Number of horns females,Horn shape size and comments,Wither height males,Wither height females,Weight males,Weight females,Breed classification (adaptedness),Herdbook,Herdbook established,Domestication status,Taxonomic classification,Description of origin,Year of origin,Import,Location within country,Eggs per year AVG,Eggs per year MIN,Eggs per year MAX,Egg weight,Wool or hair,Wool type,Fleece weight AVG,Fleece weight MIN,Fleece weight MAX,Fibre diam,Management system,Feeding of adults,Mobility,Milk per year AVG,Milk per year MIN,Milk per year MAX,Lactation length (day) AVG,Lactation length (day) MIN,Lactation length (day) MAX,Milk yield per lactation (kg) AVG,Milk yield per lactation (kg) MIN,Milk yield per lactation (kg) MAX,Milk fat AVG (%),Milk fat MIN (%),Milk fat MAX (%),Milk per day (kg),Number of lactations,Efabis milk protein AVG,Efabis milk protein MIN,Efabis milk protein MAX,Birth weight males,Birth weight females,Age maturity males,Age maturity females,Age breeding males,Age breeding females,Age first parturition (month) AVG,Age first parturition (month) MIN,Age first parturition (month) MAX,Parturition interval (day) AVG,Parturition interval (day) MIN,Parturition interval (day) MAX,Length productive life (years),Daily gain,Carcass weight (kg),Dressing percentage (%),Performance data reference,Managment conditions performance measured,Comments managment conditions,Additional performance parameters,Litter size AVG,Litter size MIN,Litter size MAX,Geographical classification,Local cryo conservation status,Local Risk,Detailed local risk status,Regional Transboundary Risk (detailed),International Transboundary Risk (detailed),Young per year AVG (number),Adult weight AVG (kg),Adult weight AVG (g),Birth weight AVG (kg),Birth weight AVG (g),Young mass per year AVG (kg),Young mass per year AVG (g)
116,Albania,ALB,Goat,Caporre e Dragobisë,alb.,Caporre,,Dragobi,"Hair, Meat, Milk",,,,,,2002: Dragobia account for less than 1% of the total sheep population.,,,,Adapted to high mountains.,,, ,,,,,"Specify adaptability to marginal, mountainous areas",,,,,,,,,,uni coloured: black,,,2,2,,70.0,68.0,65.0,50.0,Native,n,,domestic,strain,indigenous breed,,,"Dragobia, north region, near border of Kosovo",,,,,hair,,2.5,1.4,2.8,55.0,extensive (non backyard),"concentrate, grazing","stationary, transhumant",,,,130.0,120.0,140.0,150.0,130.0,180.0,3.8,3.2,4.4,1.1,4.0,2.8,2.2,3.1,3.0,2.7,,,,,,,,,,,,,,,,,Extensiv production system,• Weaning weight at 70 days: 16 kg (m) 14 kg (f) • fertility: 97%; • fecundity: 108%,1.7,1.0,3.0,local,No Information,atRisk,endangered,,,,57.5,57500.0,2.85,2850.0,,
118,Albania,ALB,Goat,Hasi,alb.,,,Hasit,"Meat, Milk, SkinsHides",,,,,,"2002: Hasi account for 8,4 % of the total goat population. 2014 - actually the Hasi goat account about 1.5 % of total goat population",,,,Adapted to high mountains.,,, ,,,,,,,,,,,,,,,uni colored: reddish to brown,Reddish,Reddish,2,0/2,Females have short and side opened horns. Males have up inwards twisted and long horns.,72.0,68.0,80.0,57.0,Native,,,domestic,breed,indigenous breed,,,,,,,,hair,,1.8,1.5,2.3,,extensive (non backyard),"concentrate, grazing",transhumant,,,,175.0,,,140.0,110.0,220.0,3.5,3.2,4.0,1.4,4.0,,,,3.0,2.7,,,,,,,,,,,,,,,,,,,1.4,1.0,3.0,local,No Information,notAtRisk,notAtRisk,,,,68.5,68500.0,2.85,2850.0,,
119,Albania,ALB,Goat,Lara e Kallmetit,Alb.,,,Larashe,"Meat, Milk, SkinsHides",,,,,,"2002, Kallmeti account for less than 1% of the total sheep population.",,,,,Resistance to disease,,"Cheese - named ""Kallmeti cheese"" cheese",,,,,Well adapted to harsh environmet,,,,,,,,,,,"White, black spottedoften concentrated in regions of shoulders and head.",white,2,0/2,"Horns bent inward from fore-rear, below white and black colored",87.0,72.0,110.0,60.0,Native,,,domestic,strain,indigenous breed,,,"North east region, Lezha region, Kallmeti village",,,,,hair,coarse/carpet,1.5,1.2,2.2,,extensive (non backyard),"concentrate, grazing",stationary,,,,170.0,165.0,185.0,145.0,100.0,170.0,4.2,3.6,4.6,1.1,4.0,3.1,2.8,3.2,3.2,2.5,,,,,,,,,,,,,,,,Extensive production system,,,1.6,1.0,3.0,local,No Information,atRisk,endangered,,,,85.0,85000.0,2.85,2850.0,,
120,Albania,ALB,Goat,Liqenas,alb.,,,,Milk,,,,,,,,,,Adapted to high mountains.,,, ,,,,,,,,,,,,,,,uni coloured: black to brown,,,2,2,,70.0,67.0,65.0,40.0,Native,,,domestic,breed,,,,,,,,,,,,,,,,,,,,,260.0,,,120.0,,,,,,,,,,,2.6,2.4,,,,,,,,,,,,,,,,,,,,,,local,No Information,unknown,unknown,,,,52.5,52500.0,2.5,2500.0,,
121,Albania,ALB,Goat,Merturi,alb.,,,,Milk,,,,,,,,,,Adapted to high mountains.,,, ,,,,,,,,,,,,,,,uni coloured: black,,,2,2,,85.0,75.0,56.0,39.0,,,,domestic,breed,,,,,,,,,,,,,,,,,,,,,140.0,,,100.0,,,,,,,,,,,1.8,1.6,,,,,,,,,,,,,,,,,,,,,,local,No Information,unknown,unknown,,,,47.5,47500.0,1.7000000000000002,1700.0000000000002,,
122,Albania,ALB,Goat,Murme E Zeze,alb.,,,,Milk,,,,,,,,,,Adapted to high mountains.,,, ,,,,,,,,,,,,,,,uni coloured: dark brown to black,,,2,2,,70.0,68.0,45.0,35.0,,,,domestic,breed,,,,,,,,,,,,,,,,,,,,,210.0,,,87.0,,,,,,,,,,,2.5,2.5,,,,,,,,,,,,,,,,,,,,,,local,No Information,unknown,unknown,,,,40.0,40000.0,2.5,2500.0,,
123,Albania,ALB,Goat,Muxhake,,,,,Milk,,,,,,,,,,Adapted to high mountains.,,, ,,,,,,,,,,,,,,,,,,2,2,,68.0,64.0,60.0,35.0,Native,,,domestic,breed,,,,,,,,,,,,,,,,,,,,,161.0,,,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,local,No Information,unknown,unknown,,,,47.5,47500.0,,,,
124,Albania,ALB,Goat,Muzhake Lunxheria,alb.,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,uni coloured: dark grey,,,2,2,straight horns,66.0,62.0,47.0,35.0,,,,domestic,breed,,,,Gjirokastra,,,,,,,,,,,,,,,,,190.0,,,,150.0,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,local,No Information,unknown,unknown,,,,41.0,41000.0,,,,
125,Albania,ALB,Goat,Muzhake Vrina,alb.,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,uni coloured: dark grey,,,0,0,,72.0,68.0,60.0,45.0,Native,,,domestic,breed,,,,Saranda,,,,,,,,,,,,,,,,,210.0,,,,170.0,200.0,,,,,,,,,3.3,3.1,,,,,,,,,,,,,,,,,,,,,,local,No Information,unknown,unknown,,,,52.5,52500.0,3.2,3200.0,,
127,Albania,ALB,Goat,Sana,alb.,,Saanen,Saanen,Milk,,,,,,2002: sana goats account for 1% of the total goat population.,,,,Adapted to harsh field conditions.,,, ,,,,,,,,,,,,,,,uni coloured: white,,,2,2,,80.0,70.0,75.0,56.0,,,,domestic,breed,imported from France,2nd half of 20th century,,,,,,,,,,,,,,,,,,,261.0,,,337.0,,,,,,,,,,,2.7,2.3,,,,,,,,,,,,,,,,,,,,,,international,No Information,unknown,unknown,,notAtRisk,,65.5,65500.0,2.5,2500.0,,
129,Albania,ALB,Goat,Syka e Matit,alb.,Syka,,,Milk,,,,,,2002: Mati account for 4.1 % of the total goat population.,,,,Adapted to high mountains.,,, ,,,,,,,,,,,,,,,uni coloured: reddish,,,2,2,,70.0,58.0,45.0,30.0,Native,n,,domestic,strain,indigenous breed,,,north west,,,,,,,,,,,,,,,,,180.0,,,90.0,,,,,,,,,,,2.6,2.2,,,,,,,,,,,,,,,,,,,,,,local,No Information,unknown,unknown,,,,37.5,37500.0,2.4000000000000004,2400.0000000000005,,
130,Albania,ALB,Goat,Tranga,alb.,,,Tranges,Milk,,,,,,"In 2002, Tranga account for less than 1% of the total goat population.",,,,,,, ,,,,,,,,,,,,,,,uni coloured: red,,,2,2,straight horns,64.0,60.0,57.0,45.0,,,,domestic,breed,indigenous breed,,,Mirdita,,,,,,,,,,,,,,,,,190.0,,,,70.0,80.0,,,,,,,,,2.1,1.8,,,,,,,,,,,,,,,,,Adapted to high mountains,,,,,local,No Information,unknown,unknown,,,,51.0,51000.0,1.9500000000000002,1950.0000000000002,,
131,Albania,ALB,Goat,Vela,alb.,,,,Milk,,,,,,2002: Vela account for less than 1% of the total goat population.,,,,,,, ,,,,,,,,,,,,,,,uni coloured: dark brown,,,2,2,,75.0,70.0,70.0,40.0,,,,domestic,breed,indigenous breed,,,Vela,,,,,,,,,,,,,,,,,190.0,,,60.0,,,,,,,,,,,2.5,2.0,,,,,,,,,,,,,,,,,,,,,,local,No Information,unknown,unknown,,,,55.0,55000.0,2.25,2250.0,,
132,Albania,ALB,Goat,Velipoja,arb.,,,,,,,,,,2002: Velipoja account for less than 1% of the total goat population.,,The meat is consumed as a traditional product,,,,," Cheese of ""Velipoja""",,,,,Well adapted to the harsh environment and to extensive production sysem in lowlwnd and hill regions,,,,,,,,,,,,,0,0,,72.0,43.0,70.0,45.0,Native,n,,domestic,strain,indigenous breed,,,North west-Velipoja and Shkodra regions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,2.4,9.0,7.0,13.0,11.0,,,,,,,4.0,165.0,,,,Extensiv production system,"Performance data was collected from animals kept under extensiv production system or in traditional family farm system, both will out transumances","Weaning weight 12 - 15 kg (m) 10 - 13 kg (f) Average length of lactation 220-250 days  Milk production Lak. I 130 -180 kg  Lakt III 250-300 kg % of fat 4,6  % of milk protein 3,3 Average length of service period 120 days  % of fertility 100  % of reproduction 105-115",,,,local,No Information,unknown,unknown,,,,57.5,57500.0,2.5999999999999996,2599.9999999999995,,
133,Albania,ALB,Goat,Vendi,alb.,,,"Commune, local goat, Common",Milk,,,,,,"2002: the most extended goat breed is the commune goat, which account for 70.6% of the total goat population.",,,,Adapted to high mountains.,,, ,,,,,,,,,,,,,,,uni coloured: reddish to grey,,,2,2,,65.0,55.0,45.0,35.0,Native,,,domestic,breed,indigenous breed,,,,,,,,,,,,,,,,,,,,197.0,,,99.0,,,,,,,,,,,2.0,1.8,,,,,,,,,,,,,,,,,,,,,,local,No Information,unknown,unknown,,,,40.0,40000.0,1.9,1900.0,,
134,Albania,ALB,Horse,Arab,eng.,,Arab,Sardo-arab,,,,,,,,,,,Adapted to harsh field conditions.,,, ,,,,,,,,,,,,,,,uni coloured: white <br>multi coloured: grey with spots,,,,,,148.0,140.0,400.0,360.0,,,,domestic,breed,,,,low area of Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,34.0,,,,,,,,,,,,,,,,,,,,,,international,No Information,unknown,unknown,,notAtRisk,,380.0,380000.0,36.0,36000.0,,
135,Albania,ALB,Horse,Comune,alb.,,,Common,DraughtPower,,,,,,,,,,Adapted to harsh field conditions.,,, ,,,,,,,,,,,,,,,uni coloured: brown,,,,,,140.0,136.0,304.0,260.0,,,,domestic,breed,,,,hilly and mountainous area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,27.0,,,,,,,,,,,,,,,,,,,,,,local,No Information,unknown,unknown,,,,282.0,282000.0,30.0,30000.0,,
136,Albania,ALB,Horse,Haflinger,,,Haflinger,,DraughtPower,,,,,,2002: the population is decreasing.,,,,Adapted to harsh field conditions.,,, ,,,,,,,,,,,,,,,uni coloured: brown,,,,,,145.0,140.0,472.0,448.0,,,,domestic,breed,continually imported,1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.0,38.0,,,,,,,,,,,,,,,,,,,,,,international,No Information,unknown,unknown,,notAtRisk,,460.0,460000.0,39.5,39500.0,,
137,Albania,ALB,Horse,Nonius,eng.,,Nonius,,DraughtPower,,,,,,2002: the population is decreasing.,,,,Adapted to harsh field conditions.,,, ,,,,,,,,,,,,,,,uni coloured: black,,,,,,158.0,150.0,470.0,430.0,,,,domestic,breed,,,,low area of Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,36.0,,,,,,,,,,,,,,,,,,,,,,regional,No Information,unknown,unknown,endangered,,,450.0,450000.0,38.0,38000.0,,
138,Albania,ALB,Pig,Comune,alb.,,,Common,Meat,,,,,,,,,,,,, ,,,,,,,,,,,,,,,uni coloured: brown,,,,,,61.0,53.0,165.0,145.0,Native,,,domestic,breed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.02,0.95,,,,,,,,,,,,,,,,,,,6.4,,,local,No Information,unknown,unknown,,,,155.0,155000.0,0.985,985.0,,
142,Albania,ALB,Pig,Large White,eng.,,Large White,,Meat,,,,,,Large White and Landras are the most common breeds.,,,,Adapted to harsh field conditions.,,, ,,,,,,,,,,,,,,,uni coloured: white,,,,,,65.0,57.0,240.0,160.0,,,,domestic,breed,continuously imported,1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.23,1.18,,,,,,,,,,,,,,,,,,,9.15,,,international,No Information,unknown,unknown,,notAtRisk,,200.0,200000.0,1.205,1205.0,,
143,Albania,ALB,Pig,Local pig,,,,,,,,,,,,,,,,,, ,The local pig had the same characteristics as the wild one.,,,,,,,,,,,,,,,,,,,,,,75.0,110.0,,,,,breed,indigenous breed,,,"north and at the coastal area from Shkodra to Vlora, especially in the areas under the catholic and orthodox religion.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The information dates from 1993.,6.0,5.0,7.0,local,No Information,extinct,extinct,,,,92.5,92500.0,,,,
146,Albania,ALB,Sheep,Baca,Alb.,,,,"Meat, Milk, SkinsHides, Wool",,,,,,"The crosses beetwen ""Shkodrane"" and ""Bardhoke"" has started 50-60 years ago. The objective was improvement of milk production of ""Shkodrane"" native sheep breed. The name ""Baca""of this new breed mean an animal that produces the goods for the family as the father",,,,,,, ,,,,,,,,,,,,,,,,,,,,,58.0,50.0,40.0,35.0,Locally adapted,,,domestic,breed,"""Baca"" breed derive for cross breeds ""Shkodrane x Bardhoke"" breeds",1960,,Shkodra region,,,,,wool,coarse/carpet,1.5,1.3,1.6,50.0,extensive (non backyard),"concentrate, grazing","stationary, transhumant",,,,180.0,170.0,200.0,70.0,60.0,90.0,6.9,6.8,7.2,0.8,4.0,5.3,5.1,5.6,1.9,1.6,,,,,,,,,,,,,,,,"The production system is extensive. Grazing during all the years. Reproduction based on natural insemination with the selected rams, that circulated among herds.",,Weaning weight 14 kg (m) 12 kg (f),1.2,1.0,3.0,local,No Information,notAtRisk,notAtRisk,,,,37.5,37500.0,1.75,1750.0,,
147,Albania,ALB,Sheep,Bardhoka,alb.,,Bardoka,Bardhok,"Meat, Milk, SkinsHides, Wool",,,,,,,,,,Adapted to high mountains. They are well adapted to the environment of Albania.,Resistance to disease,, ,,,,,Well adapted to harsh environment,,,,,,,,,,uni coloured: white,White,White,2,0,Twisted,70.0,65.0,60.0,50.0,Native,,,domestic,breed,Native/Indigenous breed,,,North region - Shkodra and Tropoja regions,,,,,wool,coarse/carpet,2.0,2.0,2.5,53.0,semi - intensive,"fodder, grazing","stationary, transhumant",,,,200.0,180.0,230.0,190.0,130.0,250.0,6.8,6.6,7.0,1.1,4.0,5.7,5.5,5.9,2.6,2.0,,,,,,,,,,,5.0,,,,,extensiv and Semi intensive production system,,,1.4,1.0,3.0,local,No Information,notAtRisk,notAtRisk,,,,55.0,55000.0,2.3,2300.0,,
149,Albania,ALB,Sheep,Comune,alb.,,,Common,Milk,,,,,,,,,,Adapted to high mountains.,,, ,,,,,,,,,,,,,,,uni coloured: white,,,2,2,,60.0,56.0,35.0,29.0,,,,domestic,breed,,,,,,,,,wool,,1.5,,,,,,,,,,164.0,,,46.0,,,,,,,,,,,1.9,1.7,,,,,,,,,,,,,,,,,,,,,,local,No Information,unknown,unknown,,,,32.0,32000.0,1.7999999999999998,1799.9999999999998,,
150,Albania,ALB,Sheep,Golemi,alb.,,,,,,,,,,,,,,The breed is well adapted to the local environment.,The animals of this breed are reported to be very resistant.,, ,,,,,,,,,,,,,,,multi coloured: black and brown,,,0,0,,58.0,53.0,35.0,28.0,,,,domestic,breed,,,,Gjiroraster,,,,,wool,,,,,,,,,,,,,,,,50.0,60.0,,,,,,,,,3.5,3.1,,,,,,,,,,,,,,,,,,,,,,local,No Information,unknown,unknown,,,,31.5,31500.0,3.3,3300.0,,
151,Albania,ALB,Sheep,Havasi,alb.,,,,Milk,,,,,,,,,,Adapted to harsh field conditions.,,, ,,,,,,,,,,,,,,,uni coloured: light brown,,,2,2,,64.0,59.0,38.0,33.0,,,,domestic,breed,,,,,,,,,wool,,2.2,,,,,,,,,,188.0,,,220.0,,,,,,,,,,,2.1,1.9,,,,,,,,,,,,,,,,,,,,,,local,No Information,unknown,unknown,,,,35.5,35500.0,2.0,2000.0,,
152,Albania,ALB,Sheep,Il d'Frans,alb.,,,Ile-de-France,Meat,,,,,,2002: there is only a small number of Il de France sheep.,,,,Adapted to harsh field conditions.,,, ,,,,,,,,,,,,,,,uni coloured: white,,,2,2,,72.0,64.0,44.0,39.0,,,,domestic,,continually imported from France,2002,,upper area of Albania,,,,,wool,,2.4,,,,,,,,,,,,,,,,,,,,,,,,2.6,2.4,,,,,,,,,,,,,,,,,,,,,,local,No Information,unknown,unknown,,,,41.5,41500.0,2.5,2500.0,,
153,Albania,ALB,Sheep,Kugi,alb.,,,,,,,,,,,,,,,The animals of this breed are reported to be very resistant.,, ,,,,,,,,,,,,,,,uni coloured: white,,,0,0,,63.0,59.0,43.0,34.0,,,,domestic,breed,,,,"Kurveleshi, Gjirokastra, Vlora",,,,,wool,,,,,,,,,,,,,,,,65.0,75.0,,,,,,,,,4.2,3.8,,,,,,,,,,,,,,,,,,,,,,local,No Information,unknown,unknown,,,,38.5,38500.0,4.0,4000.0,,
156,Albania,ALB,Sheep,Merino,eng.,,Merino,,Milk,,,,,,2002: the merino population consisted of 12.45 % of the total sheep population. During the last years the merino population increased with 3 % annually.,,,,Adapted to harsh field conditions.,,, ,,,,,,,,,,,,,,,uni coloured: white,,,2,2,,68.0,61.0,71.0,55.0,,,,domestic,breed,continuously imported; different types of Merions were imported from Ex USSR and other eastern countries,1955-1960,,coastal area,,,,,wool,,4.4,,,,,,,,,,190.0,,,40.0,,,,,,,,,,,3.1,2.7,,,,,,,,,,,,,,,,,Partly Managed under low and medium input production systems.,,,,,international,No Information,unknown,unknown,,notAtRisk,,63.0,63000.0,2.9000000000000004,2900.0000000000005,,
158,Albania,ALB,Sheep,Ruda,alb.,,Ruda,Rude,"Meat, Milk, Wool",,,,,,,,,,Adapted to high mountains. They are well adapted to the environment of Albania.,,, ,,,,,Very adapter to marginal environment,,,,,,,,,,Uni coloured: white,"The animals are white, sometimes can see black ones.",White,2,0,Ewes are without horns and rams have big horns.,65.0,58.0,60.0,50.0,Native,n,,domestic,breed,indigenous breed,,,North and north east region,,,,,wool,medium,2.2,1.5,2.6,33.0,,,,,,,165.0,170.0,190.0,65.0,50.0,100.0,6.4,6.2,6.5,0.9,4.0,4.5,4.3,4.9,2.5,2.0,7.5,8.3,21.0,22.0,18.0,11.0,22.0,214.0,195.0,235.0,4.0,,,,,Extensive production system,,Weaning weight 15.5 kg (m) 14.2 kg (f),1.2,1.0,3.0,local,No Information,notAtRisk,notAtRisk,,,2.0467289719626165,55.0,55000.0,2.25,2250.0,4.605140186915887,4605.140186915887
159,Albania,ALB,Sheep,Shkodrane,alb.,Shkodrane means sheep that breeding in Shkorda region Zhuja is name used in Montenegro,Zhuja,"Delja Shkodrane, Shkodra","Meat, Milk, Wool",,,"“Shkodrane” breed sheep is distinguished to characteristics that are not expressed to other indigenous breeds “…. wool of this sheep is one of the best in world as a stuffy material, whom length sometime reaches to land, covering all body (Maymone, 1935) “…. It is one of the most original and interesting thing in Balkan and no variety of coarse wool sheep in many other states does not like with Albanian dwarf sheep from Shkodra region, that for coarseness, length and wool yield are ranked after”. “…. Wool of shkodrane sheep, that was sold by domestic dealers was known and demanded in Venice, Trieste and Ankara markets. Among 28 articles of export goods from Shkodra during years 1884-85, the wool was main article. Coarse wool was produced by sheep of Shkodra highland, sheared once a year. In general, exported wool from this region named “Lana Scutarina” reached to Austro-Hungary, whereas a small amount in Italy in 1862’s , A large amount was sent to USA to fill mattress of hospitals established during civil war”  “ A breed that should be taken into account to improve the Italian wool purposed sheep breed to mattress is Shkodrane breed that produces large milk amount and 2-4 kgs wool (Allamani, 1938) “…Shkodrane sheep breed is a typical one which is distinguished to its long wool of high quality that could be compared to the best wools throughout world to mattress” (Maymone, 1937)",,,"2002: Shkodrane account for 1,02 % of the total sheep population. The population of Shkodrane is continually decreasing. They are not at a critical level of extinction, but protective measurements should be taken according to the 2002 country report of Albania. Size population deceasing.",,,,Adapted to harsh environment.,Resistance to diseases and lack of water.,,Wool ,,"“…. wool of this sheep is one of the best in world as a stuffy material, whom length sometime reaches to land, covering all body (Maymone, 1935) .“Wool quality is higher than other breeds…… Only wool of English breeds (Blackaca, Herfuich, Sveledal and the same others ) can be compared to Shkodrane sheep wool.” (Samimi, V. 1937)",,,Very well adapted to harsh environment,,,,,,,,,,uni coloured: white,"The fleece is white with reddish nuance.The face, red brick colored. A few sheep have the downer part of legs red brick colored.","The skin of Shkodrane breed sheep is not very thin. One is a little elastic, white and rose nuance colored",2,0,,58.0,51.0,45.0,26.0,Native,n,,domestic,breed,"Albanian researchers classify Shkodrane breed in the group of “Cakel” sheep breed , whose ancestor should be looked for in the domesticated populations of Far East. Until the end of first half of last century , this breed had been dominant in over and sub Shkodra areas. After 1965’s , especially 1970-80’s this breed submitted crosses with the imported Cigaja and Merino breeds. A part of population was crossed with other autochthonous breed “Bardhoka”.",,,"Shkodra region, north east region, near the border with Montenegro",,,,,wool,coarse/carpet,4.2,3.2,5.5,100.0,extensive (non backyard),"concentrate, fodder, grazing",stationary,,,,165.0,150.0,180.0,69.0,50.0,80.0,7.3,7.0,7.5,1.2,4.0,5.6,5.5,5.8,1.9,1.6,,,,,,,,,,,4.0,,,,,,Extensive production system,,,,,local,No Information,atRisk,endangeredMaintained,,,,35.5,35500.0,1.75,1750.0,,
160,Albania,ALB,Sheep,Tsygaia,alb.,,Tsigai,"Cernohubka, Cigaja, Tigaie, Tsigai, Tsygaja, Cigàja",Milk,,,,,,,,,,Adapted to harsh field conditions.,,, ,,,,,,,,,,,,,,,uni coloured: white,,,2,2,,66.0,60.0,44.0,37.0,Locally adapted,,,domestic,breed,different types of Tsigai were imported from Ex-USSR and other eastern countries;,1955-1960,,,,,,,wool,,2.3,,,,,,,,,,164.0,,,48.0,,,,,,,,,,,3.3,2.9,,,,,,,,,,,,,,,,,,,,,,international,No Information,unknown,unknown,,notAtRisk,,40.5,40500.0,3.0999999999999996,3099.9999999999995,,
161,Albania,ALB,Sheep,Zagoria,alb.,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,uni coloured: white,,,0,0,,60.0,57.0,45.0,35.0,,,,domestic,breed,,,,Tepelene,,,,,wool,,,,,,,,,,,,,,,,55.0,65.0,,,,,,,,,3.5,3.1,,,,,,,,,,,,,,,,,,,,,,local,No Information,unknown,unknown,,,,40.0,40000.0,3.3,3300.0,,
163,Argentina,ARG,Cattle,Aberdeen Angus,eng.,,Aberdeen-Angus,,Meat,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,0,0,,,,,,Locally adapted,y,1901,domestic,breed,Imported; exotic,,1879 from Scotland by Mr. Carlos Guerrero,temperate areas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,34.0,,,24.0,15.0,36.0,24.0,,,,,10.0,800.0,240.0,57.0,"Breed Society, www.angus.org.ar",Freedom on grazing along the year. Fattening base on pastures with protein and energy supplement.,,Pregnancy: 284 days; scrotal circumference: 36.7 cm; backfat thickness: 7.0 mm; lumbar fat thickness: 8.7 mm;,,,,international,No Material,unknown,unknown,,notAtRisk,,,,35.0,35000.0,,
167,Argentina,ARG,Cattle,Braford,eng.,,Braford,,Meat,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,0,0,,,,,,Locally adapted,y,,Domestic,Breed,Locally adapted stabilized synthetic breed. The Braford breed was developed through crossbreeding Hereford and Brahman cattle.,,,northern sub-tropical regions and semi-arid regions of the western Pampas.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.6,,,,,,36.0,,,,,,,,,,,,,Circunferencia escrotal: 31.9 cm; Peso Destete: 186 kg; Peso final (18 meses): 392 kg.,,,,international,No Material,unknown,unknown,,notAtRisk,,,,34.6,34600.0,,
168,Argentina,ARG,Cattle,Brahman,eng.,,Brahman,American Brahman,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,uni coloured: usually silver grey,,,2,2,,,,,,Exotic,y,,Domestic,Breed,possibly with some European blood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1195.0,,,,,,,,,,international,No Material,unknown,unknown,,notAtRisk,,,,,,,
172,Argentina,ARG,Cattle,Criollo Agentino Patagonico,sp.,,,,"DraughtPower, Meat, Milk, SkinsHides",,,,,,,,,,La selección natural y antrópica ha desarrollado un pool genético con gran capacidad para adaptarse a distintos ambientes ,Según los estudios realizados en el núcleo de conservación de laUniversidad Nacional de Lomas de Zamora no se han detectado casos de queratoconjuntivitis,, Su carne tiene menor contenido graso que razas de origen británico distribuidas en ambientes similares y su cuero es particularmente apreciado por la variedad de colores,Generalmente son animales muy longevos que mantienen. Es normal observar vacas de veinte años de edad.,,,,,,,,,,,,,,Presenta todos los colores de capa posibles en el bos taurus. No se realiza selección por color de capa ,,,2,0 / 2,Los cuernos se presentas de diversas formas y tamaños,126.65,124.37,550.0,380.0,Locally adapted,n,,Domestic,Breed,"La raza bovina criolla argentina tiene su origen en los animales que introdujeron los conquistadores españoles al actual territorio argentino a partir del año 1549. Se adaptaron a toda la diversidad de ambientes presentes en su geografía. Se denomina bovino criollo de origen patagónico a aquellos animales que proceden de una población cerrada, que permanece asilvestrada en el actual Parque Nacional Los Glaciares, ubicado en el SO de la provincia de Santa Cruz, desde principios del siglo XX. ",1549,,"Actualmente hay ejemplares puros en varias provincias y localidades de Argentina. Se encuentra presente en la Patagonia Argentina y en algunos establecmineotnetos de la provincia de Buenos Aires en las localidades de Chascomús, General Belgrano y Tornquist. Por su parte en la región del Parque Nacional Los Glaciares se encuentra una población de animales asilvestrados, adaptados a las drásticas condiciones ambientales.",,,,,,,,,,,extensive (non backyard),grazing,"stationary, transhumant",,,,,,,,,,,,,,,,,,25.0,23.0,12.0,10.0,,,,,,,,,14.0,,,,,,,,1.0,1.0,1.0,local,Not Sufficient,unknown,unknown,,,,465.0,465000.0,24.0,24000.0,,
